7174329635764732197,4794,2760,0.576000000000000000
206904954090724337,4311,2450,0.568000000000000000
4350425024258480878,4172,2363,0.566000000000000000
3214410852649090659,3781,2126,0.562000000000000000
5568963519328366880,4298,2387,0.555000000000000000
2461736748292367987,3575,1968,0.550000000000000000
9183043445192227260,3725,2046,0.549000000000000000
6014017525933240454,3405,1779,0.522000000000000000
7757992142189260835,2505,1138,0.454000000000000000
7279971728630971062,1914,861,0.450000000000000000
